solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist
1636148068921376768,Gaia DR3 2814893910504602496,2814893910504602496,1027191259,2016.0,346.68652775100645,0.35047415,12.771858312631302,0.33103442,-0.1561026446671134,0.39821437,-0.39200655,1.2102345,1.1564432365612591,0.46457154,0.35680042040815463,0.40439478,0.21700026,0.24782649,-0.33304927,-0.09817363,0.054224722,-0.056845013,0.15298389,-0.1691839,-0.1601682,0.26344335,187,0,186,1,-0.5290182,178.64168,0.0,0.0,31,False,1.7053814,,,,,,,,21,13,0.6992748,28,8,0,0.10676611,69.1676,0,3,0.97050077,0.123214796,0.16961588,0.14854306,0.7589821,-107.66451,-21.975895,-59.4983,22.185276,False,229,252.5490150517836,1.0295995,245.28859,19.681503,25,181.62238030650607,8.039087,22.592413,19.690619,24,112.24274482569315,6.741543,16.649416,19.6225,1.1635964,0,1,0,0,0,0.06811905,0.009115219,0.05900383,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,87.10502668749105,-42.700673153249085,352.90580711455146,16.98733965372428,False,False,0,False,False,False,False,False,False,False,False,0.00075662666,5.720217e-13,0.9992057,,,,,,,,,,,,,,,,,,,,,,,0.0008679238090817518
1636148068921376768,Gaia DR3 2814893841785027840,2814893841785027840,1744352015,2016.0,346.68652859209766,1.7171974,12.770990208873547,2.0058577,,,,,,,,,0.42178965,,,,,,,,,,61,0,61,0,1.5465736,73.21378,3.0002215,0.6841037,3,False,,,,,,,,,7,6,5.8009734,7,2,0,0.2920341,69.98121,0,0,,0.36206156,0.23528555,0.22228462,0.86938256,144.17084,-44.08042,3.438869,23.780807,False,59,95.95490879848495,2.1957114,43.701054,20.732199,4,66.45433500268307,13.20532,5.032391,20.782234,4,54.26941321829369,23.598349,2.2997124,20.411509,1.25813,0,0,0,0,0,0.37072563,0.050035477,0.32069016,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,87.10439665021258,-42.701407470036976,352.90544050937905,16.986545502005324,False,False,0,False,False,False,False,False,False,False,False,0.0043424545,8.2585204e-05,0.9952656,,,,,,,,,,,,,,,,,,,,,,,0.0012561269065157516
1636148068921376768,Gaia DR3 2814893841784848128,2814893841784848128,1447016904,2016.0,346.68584685578435,4.9518075,12.770485081368394,4.1068687,,,,,,,,,-0.77601165,,,,,,,,,,43,0,43,0,0.38327286,40.73787,2.5914567,0.3140553,3,False,,,,,,,,,5,5,1006.7105,5,2,0,0.6664873,65.10376,0,0,,0.40904856,0.20221096,0.5184975,0.9714866,-98.14744,18.86029,55.58469,18.83193,False,43,85.27777773444969,3.0173643,28.26234,20.860277,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,87.10326466704963,-42.701479335388974,352.9045910236631,16.98635270066666,False,False,0,False,False,False,False,False,False,False,False,0.0075032734,8.2276296e-05,0.9915429,,,,,,,,,,,,,,,,,,,,,,,0.0020846770451161283
1636148068921376768,Gaia DR3 2814893841784859904,2814893841784859904,1083931637,2016.0,346.68911478963304,0.8625384,12.773276163234664,1.0298233,-0.40963655739091465,0.9655328,-0.4242596,4.3321924,4.125373541152042,1.4626288,1.3225675519200135,1.5756497,0.10540444,0.16880442,-0.42193767,0.13884735,0.36828876,0.037013143,-0.16777036,-0.13484913,-0.09172272,0.11453016,113,0,112,1,0.6276279,127.79068,0.0,0.0,95,False,,1.2441791,0.28585735,-0.05005545,0.43689287,0.24344291,-0.114037305,-0.23287399,13,11,2.2446654,13,5,0,0.46063048,66.31403,0,0,1.040226,0.05030987,0.092750005,0.21802035,0.9381084,-90.812256,-47.537113,37.78405,20.873621,False,110,106.51011251801013,1.1747772,90.6641,20.618889,9,49.97114312216481,9.374145,5.330742,21.091743,11,63.611451489271055,6.7176332,9.469325,20.239058,1.066402,0,0,0,0,0,0.8526859,0.4728546,0.3798313,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,87.10895955258668,-42.70082214321811,352.9088195471473,16.987614986370307,False,False,0,False,False,False,False,False,False,False,False,0.0039296346,4.7351314e-08,0.99607027,,,,,,,,,,,,,,,,,,,,,,,0.0021532541526110777
1636148068921376768,Gaia DR3 2814893910504602624,2814893910504602624,1172415508,2016.0,346.6853270447523,0.096907474,12.7710138452253,0.09067876,0.05163418409809619,0.11465396,0.45034802,1.5415974,1.5358192752433513,0.12747614,0.13334711511665437,0.10954653,0.15629318,0.19275066,-0.20817429,-0.0980273,-0.0038450677,-0.06986869,0.15429345,-0.14498301,-0.25168803,0.15603067,186,0,185,1,0.9619957,206.31291,0.271229,1.0578413,31,False,1.5877358,,,,,,,,21,13,0.18387952,27,8,0,0.13731909,77.3582,0,0,1.0492454,0.12794109,0.17027739,0.15447815,0.7577461,-106.04184,-21.067307,-59.706253,22.166225,False,236,1679.2419162356412,17.059513,98.43434,17.624584,26,1008.5481667809204,35.248653,28.612389,17.8293,25,1118.8885813595766,25.31452,44.19948,17.125929,1.266903,0,18,0,17,0,0.70337105,0.20471573,0.49865532,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,87.10306585703714,-42.70076152985872,352.9043300804197,16.98704140378645,True,False,0,False,False,False,True,False,True,True,False,0.2206699,2.9490602e-06,0.77931166,5889.5874,5863.192,5919.9937,4.6112,4.5961,4.632,-3.9219,-4.104,-3.5812,2553.6465,2528.3657,2589.079,0.0165,0.0049,0.034,0.014,0.0042,0.0289,0.0078,0.0023,0.016,MARCS,0.0022222519772943632
1636148068921376768,Gaia DR3 2814893910504119808,2814893910504119808,141940014,2016.0,346.6851386927512,20.66636,12.77069044735023,7.3795304,,,,,,,,,-0.9866129,,,,,,,,,,44,0,43,1,-0.87560797,30.289598,0.0,0.0,3,False,,,,,,,,,5,5,54.226868,6,2,0,2.727264,102.70754,0,16,,0.1699267,0.98975194,0.2178015,0.95929456,-179.21504,18.228415,-56.433365,18.237675,False,44,104.2473262680095,2.2228398,46.898262,20.642204,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,87.10261948301674,-42.70093679361944,352.9040175793741,16.986820027164473,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025295456684359054
1636148068921376768,Gaia DR3 2814893837492707072,2814893837492707072,870511886,2016.0,346.69025863387395,0.30580902,12.772717684878145,0.2866238,-0.013014069190236512,0.35046843,-0.037133355,1.4508015,1.4503644239761222,0.40033215,-0.03561037408350575,0.34788558,0.19638138,0.24297611,-0.3044078,-0.08909544,0.046018466,-0.04926285,0.16539368,-0.16275688,-0.1707552,0.23546432,188,0,187,1,-0.2250448,185.42323,0.0,0.0,31,False,1.4494145,,,,,,,,21,13,0.5961228,27,8,0,0.07956491,63.75533,0,0,0.98640394,0.12142342,0.1668319,0.14559916,0.76121175,-101.960014,-22.834696,59.097225,22.213795,False,236,301.23090072323146,1.0982771,274.27588,19.490118,24,148.9876148728632,8.800107,16.930204,19.905666,24,223.37609194759034,10.81844,20.647717,18.875303,1.2361405,0,1,0,1,0,1.0303631,0.41554832,0.61481476,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,87.10983696440633,-42.70189010647392,352.9096498047249,16.986652783625004,False,False,0,False,False,False,False,False,False,False,False,0.00012795994,1.4053081e-08,0.9998681,,,,,,,,,,,,,,,,,,,,,,,0.0028897461298563625
1636148068921376768,Gaia DR3 2814893906211574784,2814893906211574784,505316957,2016.0,346.6869106997729,0.19289814,12.77509460524447,0.18054713,-0.208106246007909,0.22316527,-0.9325207,1.7155936,1.6840400922304328,0.25160918,0.3275217043403065,0.21576764,0.18748067,0.24588531,-0.26709577,-0.09704448,0.029355802,-0.06674917,0.15405631,-0.15935296,-0.17464477,0.20671591,187,0,187,0,-1.0222615,169.52415,0.0,0.0,31,False,1.4849391,,,,,,,,21,13,0.36960763,27,8,0,0.07110285,69.44013,0,0,0.9451024,0.12142345,0.16683188,0.14559904,0.7612117,-101.96078,-22.835428,59.096462,22.213053,False,237,557.1187963311864,1.3345827,417.44794,18.822496,19,273.8644660799371,9.519073,28.770079,19.244703,18,424.6543329751611,9.579034,44.331646,18.177807,1.2538059,0,0,0,0,0,1.0668964,0.42220688,0.64468956,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,87.10780845600155,-42.698136704237406,352.90753386621424,16.990147846904037,False,False,0,False,False,False,False,False,False,False,False,8.312687e-09,5.798926e-10,0.99999243,,,,,,,,,,,,,,,,,,,,,,,0.0032324898643213184
1636148068921376768,Gaia DR3 2814893841785126016,2814893841785126016,953218961,2016.0,346.6851564269842,0.21150643,12.769485255796045,0.193884,-0.07380298853353917,0.24129812,-0.3058581,1.6183835,1.5827215136294175,0.2975828,0.33787276934430743,0.23524238,0.17961262,0.1702874,-0.21437387,-0.16244489,0.0051934603,-0.15815827,0.059984904,-0.19974385,-0.14759664,0.20552486,175,0,173,2,1.3874017,202.35329,0.62240887,1.238892,31,False,1.501114,,,,,,,,21,13,0.43054548,27,8,0,0.06507428,70.57175,0,0,1.074603,0.12052168,0.18447198,0.14111172,0.74472284,-123.19066,-19.350777,-53.805386,22.261683,False,225,582.6839426853651,1.4140811,412.05835,18.773785,25,274.6336491594553,8.1203,33.82063,19.241657,25,433.2892615020749,7.8122897,55.462517,18.15595,1.2149347,1,0,1,0,0,1.0857067,0.46787262,0.6178341,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,87.10176333081016,-42.701964856482455,352.9035240748781,16.985710962169414,False,False,0,False,False,False,False,False,True,False,False,3.0987355e-09,6.136487e-13,0.99998826,4916.177,4892.0864,4939.155,4.8158,4.7713,4.8667,-3.028,-3.5189,-2.2961,2130.13,1975.7067,2258.2085,0.0054,0.0014,0.014,0.0043,0.0011,0.0112,0.0024,0.0006,0.0062,MARCS,0.0032695638265729183
1636148068921376768,Gaia DR3 2814893910504838784,2814893910504838784,1667401978,2016.0,346.6860720682715,0.17311461,12.77490127712196,0.16326572,0.09209785803881873,0.20097055,0.45826545,1.9579215,1.954389724725041,0.22622028,0.11754754116546216,0.1923299,0.17976435,0.229841,-0.2344982,-0.09595932,0.030063307,-0.08137479,0.13844927,-0.1618893,-0.18434078,0.1856284,184,0,184,0,0.9712466,204.02339,0.42901957,0.78521585,95,False,,1.4437714,0.04929811,-0.026744818,0.11301589,0.07156496,-0.055741917,-0.04132083,21,13,0.32907966,27,27,0,0.07154656,69.276054,1,0,1.0500112,0.11482373,0.16574833,0.14495263,0.76535463,-100.07243,-24.376389,56.91876,22.106512,False,233,710.0709018670365,1.4682283,483.62427,18.559113,23,359.64701471147356,9.081558,39.601906,18.94885,24,540.6128066269168,5.9345055,91.09652,17.91568,1.2678449,0,15,0,16,0,1.0331707,0.38973808,0.6434326,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,87.10672715340527,-42.69786328683542,352.9066700300456,16.990302098008055,False,False,0,False,False,False,False,False,True,False,False,1.249033e-09,3.2630265e-10,0.99999416,5132.118,5119.2134,5147.8125,4.7794,4.7691,4.793,-3.3896,-3.5711,-3.1443,2175.5388,2157.2937,2195.9097,0.1374,0.1116,0.1617,0.1116,0.0907,0.1313,0.0615,0.0499,0.0723,MARCS,0.0032752451556631633
