Name,Con,RA,DEC,R_Sun,R_gc,m_v,dim,status
"NGC 104, 47 Tuc",Tuc,0:24:06,-72:04:53,14.70,24.10,3.95,50.00,confirmed
NGC 288,Scl,0:52:45,-26:34:57,29.00,39.10,8.09,13.00,confirmed
NGC 362,Tuc,1:03:14,-70:50:56,28.00,30.60,6.40,14.00,confirmed
Whiting 1,Cet,2:02:57,-3:15:10,98.10,112.50,15.03,1.20,confirmed
NGC 1261,Hor,3:12:16,-55:12:58,53.10,59.00,8.29,6.80,confirmed
Palomar 1,Cep,3:33:20,+79:34:51.8,36.20,56.10,13.18,2.80,confirmed
"E 1, AM 1",Hor,3:55:02,-49:36:55,402.00,406.20,15.72,0.50,confirmed
Eridanus Glob. Cl.,Eri,4:24:45,-21:11:13,293.70,309.70,14.70,1.00,confirmed
Palomar 2,Aur,4:46:06,+31:22:53.4,88.70,114.10,13.04,2.20,confirmed
NGC 1851,Col,5:14:07,-40:02:48,39.40,54.10,7.14,12.00,confirmed
"M 79, NGC 1904",Lep,5:24:11,-24:31:29,42.10,61.30,7.73,9.60,confirmed
NGC 2298,Pup,6:48:59,-36:00:19,35.20,51.50,9.29,5.00,confirmed
NGC 2419,Lyn,7:38:08,+38:52:56.8,269.30,293.10,10.41,4.60,confirmed
Koposov 2,Gem,7:58:17,+26:15:18,113.10,136.60,17.60,,confirmed
Pyxis Glob. Cl.,Pyx,9:07:58,-37:13:17,128.40,135.00,12.90,4.00,confirmed
NGC 2808,Car,9:12:03,-64:51:49,31.30,36.20,6.20,14.00,confirmed
E 3,Cha,9:20:57,-77:16:55,26.40,29.70,11.35,10.00,confirmed
"Palomar 3, Sex C",Sex,10:05:32,+00:04:18,301.50,312.00,14.26,1.60,confirmed
NGC 3201,Vel,10:17:37,-46:24:45,16.00,28.70,6.75,20.00,confirmed
"Palomar 4, UMa dw",UMa,11:29:17,+28:58:24.9,354.40,362.50,14.20,1.30,confirmed
Koposov 1,Vir,11:59:19,+12:15:36,157.50,160.70,17.10,,confirmed
NGC 4147,Com,12:10:06,+18:32:33.5,62.90,69.80,10.32,4.40,confirmed
NGC 4372,Mus,12:25:45,-72:39:32,18.90,23.10,7.24,5.00,confirmed
Rup 106,Cen,12:38:40,-51:09:01,69.10,60.30,10.90,2.00,confirmed
"M 68, NGC 4590",Hya,12:39:28,-26:44:39,33.60,33.30,7.84,11.00,confirmed
NGC 4833,Mus,12:59:34,-70:52:35,21.50,22.80,6.91,14.00,confirmed
"M 53, NGC 5024",Com,13:12:55,+18:10:05.4,58.40,60.00,7.61,13.00,confirmed
NGC 5053,Com,13:16:27,+17:42:00.9,56.70,58.00,9.47,10.00,confirmed
"NGC 5139, Omega Cen",Cen,13:26:47,-47:28:47,17.00,20.90,3.68,55.00,confirmed
"M 3, NGC 5272",CVn,13:42:12,+28:22:38.2,33.30,39.10,6.19,18.00,confirmed
NGC 5286,Cen,13:46:27,-51:22:27,38.10,29.00,7.34,11.00,confirmed
AM 4,Hya,13:56:22,-27:10:03,105.00,90.60,15.88,3.00,confirmed
NGC 5466,Boo,14:05:27,+28:32:04.0,52.20,53.10,9.04,9.00,confirmed
NGC 5634,Vir,14:29:37,-5:58:35,82.20,69.10,9.47,5.50,confirmed
NGC 5694,Hya,14:39:36,-26:32:20,114.10,95.80,10.17,4.30,confirmed
IC 4499,Aps,15:00:18,-82:12:49,61.30,51.20,9.76,8.00,confirmed
NGC 5824,Lup,15:03:59,-33:04:06,104.60,84.40,9.09,7.40,confirmed
"Palomar 5, Ser dw",Ser,15:16:05,-0:06:42,75.60,60.60,11.75,8.00,confirmed
NGC 5897,Lib,15:17:25,-21:00:37,40.80,24.10,8.53,11.00,confirmed
"M 5, NGC 5904",Ser,15:18:33,+02:04:51.7,24.40,20.20,5.65,23.00,confirmed
NGC 5927,Lup,15:28:01,-50:40:23,25.10,15.00,8.01,6.00,confirmed
NGC 5946,Nor,15:35:29,-50:39:35,34.60,18.90,9.61,3.00,confirmed
BH 176,Nor,15:39:07,-50:03:10,61.60,42.10,14.00,3.00,confirmed
NGC 5986,Lup,15:46:03,-37:47:11,33.90,15.60,7.52,9.60,confirmed
"Palomar 14, AvdB",Her,16:11:01,+14:57:28,249.40,233.40,14.74,2.20,confirmed
Lynga 7,Nor,16:11:04,-55:19:04,26.10,14.00,10.18,2.50,confirmed
"M 80, NGC 6093",Sco,16:17:02,-22:58:34,32.60,12.40,7.33,10.00,confirmed
"M 4, NGC 6121",Sco,16:23:35,-26:31:33,7.20,19.20,5.63,36.00,confirmed
NGC 6101,Aps,16:25:48,-72:12:08,50.20,36.50,9.16,5.00,confirmed
NGC 6144,Sco,16:27:14,-26:01:25,29.00,8.80,9.01,7.40,confirmed
NGC 6139,Sco,16:27:40,-38:50:56,32.90,11.70,8.99,8.20,confirmed
Terzan 3,Sco,16:28:40,-35:21:13,26.70,8.10,12.00,3.00,confirmed
"M 107, NGC 6171",Oph,16:32:32,-13:03:14,20.90,10.80,7.93,13.00,confirmed
"ESO452-SC11, 1636-283",Sco,16:39:25,-28:23:55,27.10,6.80,12.00,1.20,confirmed
"M 13, NGC 6205",Her,16:41:41,+36:27:35.5,23.10,27.40,5.78,20.00,confirmed
NGC 6229,Her,16:46:59,+47:31:39.9,99.40,97.10,9.39,4.50,confirmed
"M 12, NGC 6218",Oph,16:47:14,-1:56:55,15.60,14.70,6.70,16.00,confirmed
"FSR 1735, 2MASS-GC03",Ara,16:52:11,-47:03:29,31.90,12.10,12.90,0.80,confirmed
NGC 6235,Oph,16:53:25,-22:10:39,37.50,13.70,9.97,5.00,confirmed
"M 10, NGC 6254",Oph,16:57:09,-4:06:01,14.30,15.00,6.60,20.00,confirmed
NGC 6256,Sco,16:59:33,-37:07:17,33.60,9.80,11.29,4.10,confirmed
"Palomar 15, Zwicky 1",Oph,16:59:51,-0:32:20,147.00,125.20,14.00,3.00,confirmed
"M 62, NGC 6266",Oph,17:01:13,-30:06:49,22.20,5.50,6.45,15.00,confirmed
"M 19, NGC 6273",Oph,17:02:38,-26:16:05,28.70,5.50,6.77,17.00,confirmed
NGC 6284,Oph,17:04:29,-24:45:54,49.90,24.40,8.83,6.20,confirmed
NGC 6287,Oph,17:05:09,-22:42:30,30.60,6.80,9.35,4.80,confirmed
NGC 6293,Oph,17:10:10,-26:34:56,31.00,6.20,8.22,8.20,confirmed
NGC 6304,Oph,17:14:32,-29:27:43,19.20,7.50,8.22,8.00,confirmed
NGC 6316,Oph,17:16:37,-28:08:24,33.90,8.50,8.43,5.40,confirmed
"M 92, NGC 6341",Her,17:17:07,+43:08:09.4,27.10,31.30,6.44,14.00,confirmed
NGC 6325,Oph,17:17:59,-23:45:58,25.40,3.60,10.33,4.10,confirmed
"M 9, NGC 6333",Oph,17:19:11,-18:30:57,25.80,5.50,7.72,12.00,confirmed
NGC 6342,Oph,17:21:10,-19:35:15,27.70,5.50,9.66,4.40,confirmed
NGC 6356,Oph,17:23:35,-17:48:47,49.20,24.40,8.25,10.00,confirmed
